Wall time,Step,Value
1683361660.136672,74,7.890115737915039
1683361662.961407,199,7.222067832946777
1683361665.5264385,261,9.183707237243652
1683361670.9258215,506,15.974509239196777
1683361672.4544365,568,12.271759986877441
1683361674.3606312,611,13.602243423461914
1683361674.5243971,618,34.97676086425781
1683361675.7353873,666,7.421699523925781
1683361676.0874135,679,42.5003662109375
1683361677.6189563,746,45.34626770019531
1683361680.2650037,840,14.788434982299805
1683361686.091816,1046,15.854280471801758
1683361694.2706242,1365,17.68636703491211
1683361696.340178,1417,14.007669448852539
1683361696.5001984,1424,10.881731033325195
1683361697.608678,1468,16.286678314208984
1683361705.4941237,1766,12.16874885559082
1683361705.5674512,1769,43.81422424316406
1683361709.5240798,1909,11.307443618774414
1683361714.0423963,2068,10.773765563964844
1683361721.0681236,2339,14.88205623626709
1683361723.6594658,2421,22.561063766479492
1683361725.9151127,2517,9.703628540039062
1683361725.937354,2518,8.725345611572266
1683361731.8873992,2717,37.96421432495117
1683361741.4057746,3070,15.428495407104492
1683361746.4123545,3262,15.75178050994873
1683361746.8633735,3278,41.458900451660156
1683361748.2823744,3337,16.622215270996094
1683361757.2542362,3650,13.671585083007812
1683361757.2961104,3652,13.04361629486084
1683361758.5513577,3702,43.03452682495117
1683361763.519752,3853,15.991168022155762
1683361767.0197504,3988,9.20241641998291
1683361777.4148364,4349,10.209890365600586
1683361780.2617214,4432,9.047534942626953
1683361782.419655,4524,8.488914489746094
1683361782.8045099,4541,13.67103385925293
1683361796.0584683,5003,20.118837356567383
1683361799.8851526,5166,12.703452110290527
1683361806.3183281,5377,17.298620223999023
1683361806.6923468,5391,16.46108055114746
1683361817.1898766,5755,9.646352767944336
1683361821.9059398,5896,9.381780624389648
1683361823.2366326,5939,44.33449172973633
1683361826.0791044,6022,10.400607109069824
1683361831.914257,6232,14.263763427734375
1683361846.1378086,6731,6.444505214691162
1683361846.4244163,6743,9.56452751159668
1683361850.6092677,6886,21.783960342407227
1683361853.5059564,6998,10.44174861907959
1683361858.9663537,7187,5.547050476074219
1683361867.8791442,7492,7.872087478637695
1683361867.9412477,7495,26.019737243652344
1683361877.8262737,7830,11.055026054382324
1683361878.547974,7865,11.365630149841309
1683361884.877873,8098,6.832338333129883
1683361888.8241427,8212,7.828752040863037
1683361889.7457194,8253,11.384786605834961
1683361897.0885143,8530,6.511279106140137
1683361897.346853,8540,5.705587863922119
1683361907.6483648,8910,22.877349853515625
1683361909.0958722,8967,12.680500984191895
1683361918.6779673,9292,13.885607719421387
1683361924.7485397,9500,6.735655307769775
1683361926.9772708,9586,6.410846710205078
1683361927.2614713,9599,11.607110977172852
1683361930.9918222,9730,7.464116096496582
1683361951.5685244,10431,16.866689682006836
1683361953.481926,10511,18.0172061920166
1683361954.5317633,10554,6.484283447265625
1683361957.4491441,10639,4.5605010986328125
1683361962.8054628,10812,20.285362243652344
1683361965.5484073,10934,7.253636360168457
1683361965.6146038,10937,9.830096244812012
1683361967.0391748,10998,5.384713172912598
1683361969.140346,11052,8.713590621948242
1683361984.0954154,11564,42.83818435668945
1683361984.8171213,11598,8.455145835876465
1683361988.1138005,11717,27.766216278076172
1683361989.76236,11791,4.7654876708984375
1683361997.0354283,12001,6.394847869873047
1683361997.1689994,12006,6.922893524169922
1683362002.4770112,12196,7.495610237121582
1683362006.3547134,12322,5.871292591094971
1683362023.659728,12909,24.921321868896484
1683362028.375434,13066,5.490021705627441
1683362029.0589354,13093,6.080744743347168
1683362044.8072677,13629,31.885290145874023
1683362045.3061771,13652,6.834440231323242
1683362050.8691416,13842,7.128562927246094
1683362062.5734792,14253,9.997121810913086
1683362064.3264742,14326,24.127286911010742
1683362065.507407,14370,9.935568809509277
1683362069.22969,14479,10.2770414352417
1683362074.9232643,14670,8.514495849609375
1683362075.6724808,14700,8.285244941711426
1683362079.187704,14811,9.22575569152832
1683362081.6914635,14905,12.354236602783203
1683362099.942618,15505,11.123248100280762
1683362108.1080189,15796,9.239700317382812
1683362119.1198413,16148,8.344327926635742
1683362124.7512734,16353,29.528718948364258
1683362140.3090057,16889,11.49355697631836
1683362146.5784786,17098,12.030494689941406
